Site,Cov,BLK,BLK_cont,Row,Col,fitness,TROR,TRCY,NO_GRASS,focal_sp,CEC,pH,NO3.N,mean_percent_open,precip,pet,water_in_out,PC1,PC2
BEN,SH,2,4,2,7,28,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,2,8,4,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,2,10,10,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,3,2,17,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,3,3,11,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,3,4,44,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,3,5,90,0,2,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,3,9,3,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,3,10,0,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,4,1,16,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,4,2,8,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,4,3,6,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,4,4,139,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,4,5,8,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,4,7,6,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,4,8,2,2,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,4,9,4,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,4,10,12,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,5,1,6,0,2,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,5,2,9,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,5,4,10,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,5,5,48,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,5,6,30,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,5,9,2,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,6,1,9,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,6,2,4,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,6,3,8,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,6,4,51,0,2,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,6,5,21,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,6,6,6,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,6,9,2,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,6,10,2,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,7,1,2,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,7,2,3,2,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,7,3,10,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,7,4,6,0,2,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,7,5,78,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,7,6,15,0,2,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,7,9,2,4,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,8,1,16,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,8,2,11,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,8,3,14,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,8,4,34,0,0,0,TROR,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,8,5,52,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,8,8,8,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
BEN,SH,2,4,8,9,2,0,0,0,TRCY,772.2,5.64,8.3,63.96,119.6,1718.6,0.069591528,0.585055544,-0.040961086
