"Site","Cov","BLK","Col","Row","TROR","TRCY","NO_GRASS","NO_FORB","NO_FOCAL","FOCAL_GERM","CHANGED_FOCAL","NOTES","fitness","Germination","dens_trt","CEC","pH","NO3.N","mean_percent_open","precip","pet","water_in_out","PC1","PC2","focsp","germ","intra","inter","fac","intra_sc","inter_sc","fac_sc"
"PJ","Sun","2",7,5,0,11,0,0,1,"Y",0,"",20,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,11,0,0,11,0
"PJ","Sun","2",7,6,0,0,0,0,1,"Y",0,"",63,"Yes","lambda",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","2",7,8,9,0,1,0,1,"Y",0,"DROPPED 1 SEED",52,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,9,1,0,9,1
"PJ","Sun","2",8,1,0,25,0,0,1,"Y",0,"",18,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,25,0,0,25,0
"PJ","Sun","2",8,2,8,0,0,0,2,"Y",0,"",135,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,8,0,0,8,0
"PJ","Sun","2",8,3,15,0,0,0,1,"Y",0,"",0,"No","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,15,0,0,15,0,0
"PJ","Sun","2",8,4,0,0,0,0,1,"Y",0,"",172,"Yes","lambda",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","2",8,5,0,20,0,1,1,"Y",0,"",37,"Yes","High density monoculture",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,20,0,0,20,0,0
"PJ","Sun","2",8,6,0,0,0,0,1,"Y",0,"",29,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","2",8,7,0,15,0,1,1,"Y",0,"",67,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,15,0,0,15,0
"PJ","Sun","2",9,1,0,10,0,0,1,"Y",0,"",50,"Yes","Invasion when rare (IWR)",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,10,0,0,10,0
"PJ","Sun","2",9,2,0,25,0,1,1,"Y",0,"",6,"Yes","IWR + Facilitator",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,25,0,0,25,0
"PJ","Sun","2",9,3,0,0,0,0,1,"Y",0,"",161,"Yes","lambda",592,6.21,0.5,99.84,116.3,2300.9,0.050545439,-0.891288866,-0.605538454,"TROR",TRUE,0,0,0,0,0,0
