focsp,Site,Cov,fac_sc,lambda_med,lambda_lwr,lambda_upr
TROR,NAM,Sun,1,6.986140279148965,2.3384033519331577,11.116972450821999
TROR,NAM,Sun,2,7.108500641273744,2.399478408628505,11.597683389144425
TROR,NAM,Sun,2.5,7.163102149411231,2.389862120382843,11.999594864352474
TROR,NAM,Sun,3,7.207357359254636,2.37634490352349,12.484896069743801
TROR,NAM,Sun,4,7.3034687433899705,2.3571619885035417,13.62794750064344
TROR,NAM,Sun,4.5,7.3538001962673025,2.3083780458122507,14.355248348218304
TROR,NAM,Sun,5,7.406190031659011,2.250204069375468,15.00145583173429
TROR,NAM,Sun,6,7.524595894125187,2.086234090729604,16.596891968625606
TROR,NAM,Sun,7,7.639194055103205,1.9415416905456266,18.628049548076877
TROR,NAM,Sun,7.117647058823529,7.650002100933433,1.9186261666342366,18.847565564856747
TROR,NAM,Sun,8,7.788648037749903,1.7846055560114145,20.91420001001951
TROR,NAM,Sun,9,7.910364491388292,1.6031370348014096,23.563161183110346
TROR,NAM,Sun,10,8.032545485284494,1.4648138188660793,26.499607899233414
TROR,NAM,Sun,17,9.132866484522548,0.694292454086839,65.10457854630515
TROR,PJ,Shade,0,6.7020756333011775,2.1799703400696697,10.596034028742967
TROR,PJ,Shade,1,6.628998187653355,2.1519326546564534,11.58363777497039
TROR,PJ,Shade,2,6.57728391399044,1.7228316727912305,14.752473921443237
TROR,PJ,Shade,2.5,6.560781276199488,1.465601598832146,17.148849161992903
TROR,PJ,Shade,3,6.561323488729359,1.2183560757826775,19.818233639347874
TROR,PJ,Shade,4,6.574414775172636,0.8478466555918164,27.293907750521985
TROR,PJ,Shade,4.5,6.585487635362188,0.7039536138188032,31.921227003077597
TROR,PJ,Shade,5,6.614896654431474,0.5851507691759109,37.48174965346744
TROR,PJ,Shade,6,6.6991923105848805,0.38299725405065693,52.00146499903669
TROR,PJ,Shade,7,6.771410075494593,0.25152452736264436,72.14918086545188
TROR,PJ,Shade,7.117647058823529,6.777347360838032,0.23993706994158726,75.29290088919429
TROR,PJ,Shade,8,6.800607108723058,0.16597832609307375,101.80262744580833
TROR,PJ,Shade,9,6.8441106796279705,0.10616389740189289,141.86927165903967
TROR,PJ,Shade,10,6.841241257744273,0.06926892668525358,197.60305656358025
TROR,PJ,Shade,17,7.2793249746074045,0.003054475263933313,2007.357131660717
TROR,PJ,Sun,0,10.814956894748757,3.590145493170707,17.211408428123796
TROR,PJ,Sun,1,9.160738906316546,2.932710781535971,16.818885293370315
TROR,PJ,Sun,2,7.75564186675995,1.9406433860507146,19.700127081397042
TROR,PJ,Sun,2.5,7.1613503070936115,1.487855706606161,21.810127757089777
TROR,PJ,Sun,3,6.628329077687282,1.124462797278815,24.32008111659189
TROR,PJ,Sun,4,5.704920572706518,0.6295795896819706,31.14262999176375
TROR,PJ,Sun,4.5,5.290129856347011,0.4707762216865466,35.54271199822994
TROR,PJ,Sun,5,4.908203388185295,0.3431848732700142,40.377677202203664
TROR,PJ,Sun,6,4.242361851625025,0.1864510863356078,50.856685315849774
TROR,PJ,Sun,7,3.649056732296105,0.10061105731366485,64.60237401396975
TROR,PJ,Sun,7.117647058823529,3.5821184976081026,0.09359519029425725,66.65844228378387
TROR,PJ,Sun,8,3.1613583621226184,0.052557416679628245,84.34836970056598
TROR,PJ,Sun,9,2.73399673788232,0.028476865969555506,108.29964445596849
TROR,PJ,Sun,10,2.3688205332520837,0.01491671507469916,139.90283376579006
TROR,PJ,Sun,17,0.8519361366854143,1.8317497362447133e-4,801.3088403221822
TROR,CS,Shade,0,1.201037084083715,0.37716599969012315,2.3977312793881866
TROR,CS,Shade,1,1.167881039170048,0.09482637049466133,4.456513100977021
TROR,CS,Shade,2,1.165328090095416,0.011788950628303013,12.994046628858442
TROR,CS,Shade,2.5,1.1564253632724653,0.004285623507163199,22.91850216067455
TROR,CS,Shade,3,1.152468084413068,0.001422763764298624,41.47768100391254
TROR,CS,Shade,4,1.1589040335199559,1.6208502604529541e-4,137.1799029921521
TROR,CS,Shade,4.5,1.1554404700603063,5.5826036925944463e-5,253.69720799632788
TROR,CS,Shade,5,1.1522439588626177,1.86111748512227e-5,464.9192828587645
