Site,Cov,fac_sc,niche_med,niche_lwr,niche_upr,fit_med,fit_lwr,fit_upr,p_coexist,p_TRCY_wins,p_TROR_wins,p_priority,mean_g_TROR,mean_g_TRCY,p_valid_kappa,n_obs,p_sum,p_unclassified,max_support,most_supported_outcome,outcome_90
NAM,Shade,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.8738135926085125,0.2650881586199012,2.7060638190732993,0.240625,0.203125,0.356875,0.199375,1,1,1,100,1,0,0.356875,TROR_wins,ambiguous
NAM,Shade,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.0953170175275142,0.31640112495264344,3.4435195881843574,0.237375,0.330125,0.231625,0.200875,1,1,1,19,1,0,0.330125,TRCY_wins,ambiguous
NAM,Shade,2,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.3502139258194887,0.33802837478093445,4.902106319562449,0.1965,0.45725,0.174375,0.171875,1,1,1,4,1,0,0.45725,TRCY_wins,ambiguous
NAM,Shade,3,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.6269497156335926,0.32363225307807647,7.592674789842858,0.159,0.552625,0.147,0.141375,1,1,1,6,1,0,0.552625,TRCY_wins,ambiguous
NAM,Sun,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.1995002349487245,0.35792521304599345,3.775405765780468,0.230875,0.38,0.1895,0.199625,1,1,1,128,1,0,0.38,TRCY_wins,ambiguous
NAM,Sun,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.4072907726548194,0.42013121721127844,4.389732800203976,0.204875,0.4825,0.126625,0.186,1,1,1,24,1,0,0.4825,TRCY_wins,ambiguous
NAM,Sun,2,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.6451204704292648,0.4752028273211389,5.293065039641108,0.17,0.58225,0.085875,0.161875,1,1,1,11,1,0,0.58225,TRCY_wins,ambiguous
NAM,Sun,3,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.9147630339173212,0.5220794188658184,6.671806425002631,0.138625,0.659375,0.062875,0.139125,1,1,1,4,1,0,0.659375,TRCY_wins,ambiguous
NAM,Sun,4,0.02072453548382952,-1.6114760218384188,0.6355345295115824,2.2252719466218123,0.5572386366897911,8.744985316141252,0.111625,0.72425,0.050125,0.114,1,1,1,8,1,0,0.72425,TRCY_wins,ambiguous
NAM,Sun,5,0.02072453548382952,-1.6114760218384188,0.6355345295115824,2.5619095400411944,0.5892244754308422,12.07725136998783,0.092375,0.76925,0.0425,0.095875,1,1,1,4,1,0,0.76925,TRCY_wins,ambiguous
NAM,Sun,6,0.02072453548382952,-1.6114760218384188,0.6355345295115824,2.9614720634314713,0.6058907721341884,16.51128865202812,0.077,0.802125,0.037875,0.083,1,1,1,2,1,0,0.802125,TRCY_wins,ambiguous
NAM,Sun,7,0.02072453548382952,-1.6114760218384188,0.6355345295115824,3.4077890727288054,0.6022193784607575,22.477314527379473,0.065,0.82875,0.034625,0.071625,1,1,1,1,1,0,0.82875,TRCY_wins,ambiguous
NAM,Sun,17,0.02072453548382952,-1.6114760218384188,0.6355345295115824,12.457724143608676,-136.77400576258717,527.1999410968513,0.030375,0.876875,0.068625,0.024125,1,1,1,1,1,0,0.876875,TRCY_wins,ambiguous
PJ,Shade,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.1482708264149437,0.36516137089153267,3.4587031426591457,0.23625,0.3475,0.20825,0.208,1,1,1,184,1,0,0.3475,TRCY_wins,ambiguous
PJ,Shade,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.317549736031483,0.38720116600791804,4.330563237601299,0.21175,0.436875,0.160125,0.19125,1,1,1,11,1,0,0.436875,TRCY_wins,ambiguous
PJ,Shade,2,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.4888547965153287,0.356967873561389,7.343294264281289,0.178375,0.505875,0.151625,0.164125,1,1,1,3,1,0,0.505875,TRCY_wins,ambiguous
PJ,Shade,5,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.8074240057383604,-23.31707205196806,39.217121491615,0.109375,0.563125,0.2255,0.102,1,1,1,1,1,0,0.563125,TRCY_wins,ambiguous
PJ,Shade,6,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.8087073826429072,-49.192481685978784,54.652405759399436,0.095375,0.553625,0.25975,0.09125,1,1,1,1,1,0,0.553625,TRCY_wins,ambiguous
PJ,Shade,8,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.6487319202875022,-104.14909187346458,93.06921025098097,0.077375,0.524625,0.326875,0.071125,1,1,1,1,1,0,0.524625,TRCY_wins,ambiguous
PJ,Shade,10,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.419221874775117,-143.14615765571386,115.5308873791791,0.061375,0.49625,0.38575,0.056625,1,1,1,1,1,0,0.49625,TRCY_wins,ambiguous
PJ,Sun,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.5073091238902632,0.4749651528561807,4.707128446648209,0.186375,0.5255,0.105375,0.18275,1,1,1,180,1,0,0.5255,TRCY_wins,ambiguous
PJ,Sun,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.6563089433604177,0.47363874111673493,5.807761403695818,0.167,0.577375,0.09525,0.160375,1,1,1,10,1,0,0.577375,TRCY_wins,ambiguous
